
Rho     Fit     CLR     CF

    0.60  9611.95    0.000  -12.981
    0.60 10035.59    0.000  -80.031
    0.60 10981.47    0.000   -6.871
    0.50 10536.46   19.145 -141.652
    0.50 10602.11   18.301  -56.748
    0.60 11473.99    0.000  -77.438
    0.50 10607.37   90.477 -129.873
    0.60 10802.72    0.000 -258.095
    0.60 10582.03    0.000   61.333
    0.60 10693.09    0.000  -69.790
    0.60 11112.76    0.000 -249.722
    0.60 11135.98    0.000   31.152
    0.40 11436.43  149.434    1.514
    0.70 12665.08   65.882   55.886
    0.60 11586.53    0.000  -31.845
    0.70 11817.83    3.012   22.995
    0.50  9802.65   88.501   33.421
    0.60 11052.99    0.000  -56.140
    0.60 10191.84    0.000 -128.069
    0.50  9366.85   57.454   -9.835
    0.60 10692.13    0.000  194.311
    0.60  9922.51    0.000   29.349
    0.60  9961.95    0.000  -24.546
    0.60  9967.41    0.000   96.778
    0.60 11935.01    0.000  -46.284
    0.60  9902.06    0.000 -121.117
    0.60 10756.55    0.000  -68.054
    0.50 10650.19    1.760   54.012
    0.60 10783.74    0.000 -103.960
    0.60 10134.27    0.000 -104.283
    0.60 11427.03    0.000  -46.108
    0.50 10983.54   72.490   -1.895
    0.60  9843.95    0.000 -118.638
    0.60  9689.90    0.000   18.552
    0.50  9677.75   29.506  174.259
    0.60 10574.24    0.000 -191.221
    0.60 10449.97    0.000   54.760
    0.60 11321.48    0.000 -118.888
    0.50 10398.07   38.257 -101.580
    0.60 11032.60    0.000  136.043
    0.60  9767.66    0.000  -36.769
    0.60 12610.05    0.000   27.718
    0.50 10574.01   83.197   54.075
    0.60 11356.89    0.000 -103.951
    0.70 11052.40    2.983  -59.308
    0.50 11271.04   38.690  -21.851
    0.60 11291.76    0.000  137.248
    0.60  9607.41    0.000 -204.034
    0.50  9949.19   52.891  -32.257
    0.50 10466.38   40.344    7.279
    0.50  9537.20   20.236 -221.304
    0.60  9358.09    0.000 -105.894
    0.50 10815.12  124.803  141.794
    0.60 11555.35    0.000   51.591
    0.50  9323.94   46.111   23.240
    0.70 11575.47   15.393   72.459
    0.50  9957.27   83.668  122.295
    0.50 11248.87   41.520   96.497
    0.60 12735.21    0.000 -157.187
    0.50  9726.86   22.934 -140.576
    0.50 10823.11   76.512 -103.340
    0.50  9427.10   35.675 -258.970
    0.50  9081.60  100.300  -87.735
    0.70 12368.40   12.003  -86.227
    0.50 10193.00  100.801  -24.811
    0.60  9910.48    0.000    1.653
    0.50 10639.42   68.203    6.370
    0.60  9354.03    0.000  -64.563
    0.60 11474.59    0.000   30.587
    0.80 14042.86  172.399  -30.296
    0.60 10320.11    0.000 -102.937
    0.60 12021.96    0.000    2.458
    0.60 14261.46    0.000  435.030
    0.70 12911.92  104.257   34.652
    0.60 11438.26    0.000   32.806
    0.50  9683.20   44.671   10.393
    0.60 10927.94    0.000  -43.514
    0.60 11689.32    0.000   48.304
    0.50 10209.90   12.123    8.397
    0.70 12459.20    2.023 -136.942
    0.60  9399.99    0.000 -100.898
    0.60 11024.07    0.000 -142.697
    0.50  9905.04   78.988   17.875
    0.70 13980.14   39.177   93.654
    0.50 14041.19   33.412  100.361
    0.60  9653.87    0.000  -53.670
    0.70 12202.95   45.998 -267.035
    0.60 11332.02    0.000  111.535
    0.60  9586.40    0.000 -181.802
    0.50 10840.87   66.184  -93.733
    0.60 10453.87    0.000   33.032
    0.70 11571.64   66.328   92.573
    0.60 10026.53    0.000   72.299
    0.70 15312.17   12.634 -161.255
    0.60 10344.83    0.000  -32.905
    0.50  9544.49   78.180  -69.781
    0.90 17371.30  505.480  -66.825
    0.60 10803.28    0.000   81.540
    0.60 11327.64    0.000  -82.364
    0.50  9409.15    7.682 -206.255
    0.50 10550.58   57.051 -179.584
    0.70 12868.42   94.235 -177.805
    0.60 11288.33    0.000 -135.036
    0.70 12630.96   22.792  -13.800
    0.60 11244.69    0.000   63.130
    0.50  9377.30   75.881 -214.181
    0.60 10971.70    0.000   73.932
    0.60 10377.26    0.000  -65.428
    0.50 10477.44   26.862   82.848
    0.50  9230.18   40.364  -86.963
    0.50  9986.92   83.760 -194.226
    0.50  9697.11   24.513   33.683
    0.60 10727.60    0.000   83.008
    0.50 10815.62   84.609 -154.255
    0.60 11010.20    0.000 -201.818
    0.70 12282.04   28.793 -185.295
    0.70 13571.03   67.047  -15.969
    0.60 10468.03    0.000   19.972
    0.70 11063.00   26.567 -108.871
    0.60 10263.51    0.000 -131.872
    0.50 10380.57   14.697   -1.955
    0.60 10419.83    0.000 -204.813
    0.60 11889.69    0.000    5.631
    0.50  9735.07   60.139  227.596
    0.50 10606.40   31.407  -70.099
    0.50  9155.77   11.877 -165.249
    0.60 11104.98    0.000  -45.931
    0.60 10876.62    0.000  109.128
    0.60 10950.18    0.000    0.671
    0.60  9782.52    0.000  -50.880
    0.60 11155.19    0.000   84.475
    0.50 10007.95   30.310  -78.339
    0.60  9771.30    0.000 -377.532
    0.60 11808.69    0.000 -185.859
    0.50 11150.68   43.612 -258.478
    0.50 10462.19   14.083  -60.621
    0.70 12469.71   30.736   62.482
    0.60 11187.24    0.000  -17.002
    0.60 10078.30    0.000  -89.975
    0.60 10734.26    0.000   81.980
    0.50 11432.73   59.518 -103.651
    0.60 12254.98    0.000 -181.232
    0.60 10837.93    0.000  -11.469
    0.50 10593.00   29.174  120.167
    0.50 10142.66   52.790  221.654
    0.70 12587.11    4.697   46.553
    0.60 10303.39    0.000 -216.371
    0.60 11174.55    0.000  199.989
    0.50 11373.75   89.681  112.795
    0.50 10336.94    5.357   14.249
    0.70 14619.03   13.773  231.363
    0.50  9919.24   75.282  -73.153
    0.60 11585.26    0.000 -216.039
    0.70 14082.14   86.394  -22.736
    0.50 11259.16   26.293   22.635
    0.50 10562.64   20.762  101.183
    0.60 10888.82    0.000 -247.347
    0.60  9622.24    0.000 -144.021
    0.50  9516.31   42.174   16.873
    0.50 10883.00   41.934   14.318
    0.60 11930.63    0.000 -136.404
    0.50 10756.93   55.269   23.635
    0.40 10766.32  127.137   12.412
    0.60 10822.24    0.000  -94.023
    0.50 10654.50    8.961   85.387
    0.60 10442.35    0.000  -78.559
    0.60 10567.03    0.000 -113.457
    0.70 13864.76  100.290 -169.064
    0.60 10344.59    0.000  101.693
    0.50 10342.13   35.491 -227.245
    0.50 10260.12   11.470   45.403
    0.50  9911.85   13.806  -68.902
    0.50 10692.65   19.541 -111.094
    0.70 11981.46    7.185   81.567
    0.60 10079.67    0.000   30.345
    0.50  9745.50   64.402   94.944
    0.50 10322.41   49.417 -238.351
    0.60 11371.61    0.000    1.347
    0.50 10221.30   14.451  171.502
    0.50 10064.97   73.080  133.338
    0.60  9443.98    0.000 -237.295
    0.60 11015.28    0.000  151.428
    0.60  9922.31    0.000  132.988
    0.60 10610.89    0.000  -86.693
    0.80 14853.36  161.326 -136.908
    0.60 10771.11    0.000   14.844
    0.50 10290.01   21.566  -44.665
    0.60 10651.18    0.000  -39.272
    0.90 15988.13  395.613 -128.812
    0.50 10241.59   17.493 -122.435
    0.60 11098.17    0.000 -156.587
    0.60 10569.08    0.000 -159.014
    0.50 10259.71   65.180   48.145
    0.60 10882.40    0.000 -137.610
    0.60 12117.08    0.000  244.007
    0.50  9271.47   92.988 -125.551
    0.50  9440.10   72.326 -159.225
    0.60  9670.19    0.000 -211.887
    0.60 13149.87    0.000    2.736
    0.60 10033.10    0.000   67.974
    0.50 10199.75   83.210 -304.872
    0.60 10811.75    0.000 -131.063
    0.80 14149.93  192.719  -68.542
    0.50  9841.69   40.704  -60.514
    0.60 11894.06    0.000   43.570
    0.60 10681.14    0.000 -335.245
    0.50  9859.49   34.512  101.642
    0.60  9632.72    0.000 -132.556
    0.60 11144.53    0.000   92.629
    0.60 10036.07    0.000  -75.199
    0.50 10546.91  117.161  122.187
    0.70 12214.32   28.107   11.508
    0.50 10492.35   23.420   61.918
    0.60 10711.72    0.000  -15.658
    0.60 10780.76    0.000  118.529
    0.50 10134.61   37.759  155.296
    0.60 10480.34    0.000  -49.184
    0.60 10694.53    0.000 -129.970
    0.50  9848.45   29.740  -59.405
    0.60 10404.01    0.000  -51.645
    0.60 10077.05    0.000  -50.635
    0.50 10176.56   21.456   56.885
    0.60 10704.58    0.000  -62.710
    0.60 10571.34    0.000 -135.408
    0.60 10231.57    0.000 -121.116
    0.60 11562.66    0.000  -58.438
    0.50 11213.05   22.396  -46.545
    0.50  8932.32   12.294   29.450
    0.60 10842.84    0.000  -34.125
    0.50 11216.43   33.902   26.381
    0.60 10739.91    0.000 -245.642
    0.60 12135.63    0.000  -83.613
    0.50 10094.00    4.085 -128.768
    0.60 14575.46    0.000   22.185
    0.50  9522.41   43.941 -120.783
    0.60  9688.36    0.000 -183.060
    0.60 10726.69    0.000   39.275
    0.60 11315.41    0.000  -94.670
    0.50 10212.61    7.987  -67.886
    0.60 10170.44    0.000   -7.214
    0.60 11078.84    0.000   99.264
    0.50 10443.16   74.209   44.297
    0.50 11380.54   10.109 -177.968
    0.60  9671.23    0.000   87.164
    0.50  9765.32    5.223   14.073
    0.50  9906.07   70.299  -98.117
    0.60 11477.81    0.000 -171.070
    0.60 13095.46    0.000  174.815
    0.60  9734.32    0.000 -221.987
    0.70 13008.13  104.603 -127.784
    0.50 11600.20   74.237  175.734
    0.50 13545.76  105.497  348.517
    0.60 11001.07    0.000  -87.007
    0.60 11671.67    0.000 -138.674
    0.50 11390.77   54.486   16.191
    0.50 11902.37   29.910 -195.301
    0.50 11627.19   64.694  -89.428
    0.50 11783.58   17.533  -17.842
    0.50 10315.85   73.524 -162.087
    0.50  9915.15   26.845  -16.778
    0.60  9103.23    0.000 -357.392
    0.60 12203.82    0.000  104.581
    0.60 10597.36    0.000  -25.520
    0.50  9621.78   13.871  -86.817
    0.60 10559.29    0.000  -42.434
    0.80 14572.74  265.460 -143.755
    0.50 10337.12   32.409  113.719
    0.60 10640.40    0.000  -39.648
    0.50 10754.59   12.604 -145.672
    0.50 10571.15   10.425   43.260
    0.60 10931.38    0.000    3.880
    0.50 11258.19   69.067  -12.281
    0.50 13024.58   52.019  347.082
    0.50  9597.29   62.922  -15.717
    0.60 11214.61    0.000 -109.606
    0.50  9404.55    9.848  106.291
    0.60 10795.28    0.000  -36.954
    0.60 11598.05    0.000 -204.077
    0.50  9590.34   65.993 -273.182
    0.50  9558.00    0.218 -164.693
    0.50 10320.57   47.215   13.731
    0.60 12370.65    0.000  -21.208
    0.60 10516.71    0.000  -83.109
    0.50 10262.71   73.415  -62.821
    0.60 11098.42    0.000 -121.058
    0.50 10855.99   95.274  118.343
    0.60 10593.36    0.000  162.772
    0.60 10302.93    0.000   -5.699
    0.60  9568.43    0.000  -58.441
    0.50  9335.81   70.436   64.039
    0.60  9843.90    0.000 -190.022
    0.50  9915.28    0.098 -156.082
    0.50 10615.47   81.816   35.629
    0.60 11244.01    0.000 -102.437
    0.60 10222.87    0.000 -206.622
    0.50 11156.68   71.237   55.103
    0.60 10637.46    0.000 -267.546
    0.60 11591.18    0.000  106.607
    0.60 10621.36    0.000  -33.359
    0.60 11242.17    0.000   58.319
    0.60 10538.25    0.000   27.687
    0.70 13939.47   67.180 -103.241
    0.50 10521.38   70.785  -97.478
    0.60 10139.02    0.000 -267.159
    0.60 11261.73    0.000 -142.030
    0.60 11314.35    0.000  -37.647
    0.50  9671.41   40.033  -46.088
    0.60 10230.88    0.000  100.099
    0.70 12689.42   70.551  176.279
    0.60  9699.34    0.000  -30.317
    0.70 11370.91    3.273   53.494
    0.60 10526.81    0.000  -28.843
    0.60  9788.69    0.000   -1.879
    0.60 12836.68    0.000   37.162
    0.50 10342.29   91.852  123.267
    0.60 11047.38    0.000  -37.821
    0.50  9584.73   47.322 -172.870
    0.50 10810.62   11.761    4.298
    0.60 10635.55    0.000  -76.996
    0.60 10309.88    0.000   19.418
    0.60 11902.69    0.000  -19.404
    0.60 12081.30    0.000   -8.687
    0.60 10945.04    0.000  -70.806
    0.40 10986.90   96.957 -131.120
    0.50 10195.44    8.070 -145.088
    0.50 10175.97   48.573 -127.271
    0.70 12968.71   12.460   24.460
    0.60 11190.43    0.000 -129.247
    0.60 12408.40    0.000   44.549
    0.60  9328.73    0.000 -110.914
    0.60 11513.23    0.000   -7.696
    0.60 10446.26    0.000 -114.148
    0.60 10383.68    0.000  133.724
    0.50 10280.42   14.673  -10.815
    0.60  9955.43    0.000  -47.119
    0.60 11549.10    0.000  -77.338
    0.80 14682.41  163.609  269.425
    0.60 10017.36    0.000 -162.625
    0.50  9790.28   85.728  -27.367
    0.50 10330.44   80.750  -76.971
    0.60  9857.76    0.000   44.647
    0.60  9797.20    0.000  -50.023
    0.60 10540.40    0.000  -49.093
    0.50 10424.99    0.785   68.969
    0.60 11004.40    0.000 -146.951
    0.50 10139.94   62.008  -82.664
    0.50 10842.44    7.693  162.239
    0.60 12021.62    0.000 -155.003
    0.60 10196.94    0.000  -45.093
    0.50 10690.77  105.252   26.765
    0.60 11034.45    0.000   71.203
    0.70 12972.18   73.935   77.599
    0.60 10354.31    0.000   40.565
    0.60 10627.06    0.000 -136.059
    0.50  9814.53   15.592 -198.731
    0.70 11745.32   36.894 -158.278
    0.70 14058.67  130.251  -18.832
    0.60 10876.70    0.000 -102.807
    0.70 10592.52   41.140 -121.899
    0.60 11546.10    0.000   -5.139
    0.60 11556.88    0.000  130.291
    0.60  9558.56    0.000 -131.718
    0.50 10994.64    3.346 -243.828
    0.70 12245.12   58.128  -89.876
    0.60  9882.70    0.000 -203.612
    0.50 10475.19   51.617  -10.427
    0.70 12648.13   56.854 -115.143
    0.50 10482.62   30.929   -2.015
    0.60 10655.21    0.000  -14.833
    0.50 10277.05    9.226 -193.560
    0.60 10533.77    0.000   39.737
    0.60 11079.06    0.000  -16.422
    0.50 10289.98   81.809 -256.814
    0.70 12292.12   68.983   95.661
    0.60 10618.25    0.000   13.248
