Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.800  -15787048.669  2275895  -0.01388  -0.01137
   2     0.800  -15787013.757  2141080  -0.01053  -0.00701
   3     0.800  -15786951.184  2244390   0.00876  -0.00796
   4     0.800  -15787117.048  1249555   0.00664   0.00816
   5     0.800  -15787015.880  1600276   0.00157   0.00078
   6     0.800  -15787002.868  1900293   0.00137  -0.00066
   7     0.800  -15787049.170  1867131  -0.00781  -0.00081
   8     0.800  -15787079.789  1561179  -0.01153   0.00216
   9     0.800  -15787062.687  1623375  -0.00838   0.00051
  10     0.800  -15786971.883  1869491   0.00417  -0.00510
  11     0.800  -15787116.022  1593232   0.01008   0.00094
  12     0.800  -15787037.732  1487655   0.00364   0.00381
  13     0.800  -15787080.239  1571596  -0.00551   0.00243
  14     0.800  -15787008.828  1867977   0.00002  -0.00320
  15     0.800  -15787012.187  1513404  -0.00079   0.00350
  16     0.800  -15786995.857  1711590   0.00154  -0.00202
  17     0.700  -15787091.710  1630551  -0.00456   0.00033
  18     0.800  -15786988.744  1633429   0.00581  -0.00124
  19     0.800  -15787055.298  1428543  -0.00108   0.00215
  20     0.800  -15787015.357  1517884   0.00110   0.00326
  21     0.800  -15787088.822  1508535  -0.00573   0.00277
  22     0.800  -15787097.917  1908027  -0.00223  -0.00274
  23     0.800  -15787006.042  1765710   0.00974  -0.00229
  24     0.800  -15787083.267  1578635  -0.00081   0.00284
  25     0.800  -15787042.410  1473117   0.00318   0.00299
  26     0.800  -15787024.311  1468343   0.00210   0.00286
  27     0.800  -15787031.592  1654257   0.00047   0.00073
  28     0.800  -15787033.113  2279511   0.00005  -0.00491
  29     0.800  -15787053.198  1491741   0.00137   0.00501
  30     0.800  -15787090.220  1540567  -0.00308   0.00210
  31     0.800  -15787046.771  1758408  -0.00038  -0.00157
  32     0.800  -15787058.908  1761233  -0.00429  -0.00292
  33     0.800  -15787057.068  1494225  -0.00156   0.00381
  34     0.800  -15787110.293  1624541  -0.00675   0.00046
  35     0.800  -15786960.490  2328438  -0.01205  -0.00882
  36     0.800  -15786973.655  1837117  -0.00417  -0.00339
  37     0.800  -15787026.885  1614887  -0.00600   0.00202
  38     0.800  -15787017.753  1801966  -0.00544  -0.00042
  39     0.800  -15787064.209  1491083   0.00588   0.00264
  40     0.800  -15787094.173  1660855  -0.00341  -0.00166
  41     0.800  -15787077.520  1714922  -0.01110   0.00035
  42     0.800  -15787042.452  1407406   0.00365   0.00575
  43     0.800  -15787079.188  1738019  -0.01752  -0.00207
  44     0.800  -15786959.925  1861520   0.00736  -0.00437
  45     0.800  -15787141.018  1630090   0.00063   0.00287
  46     0.800  -15787060.055  1569442   0.00107   0.00228
  47     0.800  -15787065.791  1329991  -0.00621   0.00677
  48     0.800  -15787030.261  1477121   0.00804   0.00430
  49     0.800  -15787029.343  1753399  -0.00105  -0.00219
  50     0.800  -15787082.947  1767990   0.00529  -0.00078
  51     0.800  -15786973.824  1885056   0.01384  -0.00256
  52     0.800  -15787023.576  1645723   0.00433  -0.00094
  53     0.800  -15787067.581  1406442  -0.00012   0.00374
  54     0.800  -15787076.778  1672631   0.00457   0.00087
  55     0.800  -15786947.225  2158966  -0.00032  -0.00837
  56     0.800  -15787005.723  1850312   0.00266  -0.00160
  57     0.800  -15787014.045  2045784   0.00509  -0.00425
  58     0.800  -15787038.829  1374165  -0.00232   0.00545
  59     0.800  -15786972.810  2098373   0.00183  -0.00571
  60     0.800  -15787000.621  1303843   0.00356   0.00444
  61     0.800  -15787129.894  1916883  -0.00950  -0.00360
  62     0.800  -15786957.542  2025570   0.00249  -0.00590
  63     0.800  -15786957.032  1911425  -0.00868  -0.00240
  64     0.800  -15787058.203  1330054  -0.00345   0.00533
  65     0.800  -15787101.416  1635185  -0.00199  -0.00033
  66     0.800  -15787093.638  1696400  -0.00099  -0.00012
  67     0.800  -15787015.155  1649429   0.00799   0.00001
  68     0.800  -15787063.541  1698416  -0.00677  -0.00016
  69     0.800  -15787023.416  1575221   0.00807   0.00153
  70     0.800  -15787082.888  1289148  -0.00154   0.00737
  71     0.800  -15787099.801  1579649  -0.00012   0.00229
  72     0.800  -15786970.360  1743280  -0.01193   0.00082
  73     0.700  -15787090.578  1848425  -0.00136  -0.00311
  74     0.700  -15787114.448  1395799  -0.00074   0.00520
  75     0.800  -15787051.757  1732177  -0.00197  -0.00039
  76     0.800  -15787052.825  1457059  -0.00814   0.00247
  77     0.800  -15787035.158  2163048   0.00156  -0.00769
  78     0.800  -15787081.156  1873234  -0.00380  -0.00422
  79     0.800  -15787063.012  1498540  -0.00215   0.00383
  80     0.800  -15787057.097  1403763   0.00157   0.00599
  81     0.800  -15787075.200  1810225  -0.00649  -0.00322
  82     0.800  -15787034.324  1778996  -0.00695  -0.00080
  83     0.800  -15786990.341  1670472  -0.00199  -0.00187
  84     0.800  -15787023.202  1839699  -0.00260  -0.00316
  85     0.800  -15787006.586  1487370  -0.00648   0.00270
  86     0.800  -15786981.386  2126886   0.00313  -0.00738
  87     0.800  -15787040.598  1597028   0.00059   0.00249
  88     0.800  -15787026.029  1787491  -0.00530  -0.00032
  89     0.800  -15787037.169  1851504  -0.00521  -0.00199
  90     0.800  -15787053.755  1350869  -0.00111   0.00593
  91     0.800  -15787050.124  1636884   0.00252   0.00247
  92     0.800  -15787075.317  1223894  -0.00732   0.00785
  93     0.800  -15787015.300  1680247  -0.00736  -0.00070
  94     0.800  -15787001.114  1694775   0.00538  -0.00058
  95     0.800  -15786949.776  1946945   0.00581  -0.00452
  96     0.800  -15787061.110  1474769   0.00469   0.00371
  97     0.800  -15787131.038  1613481  -0.00223   0.00162
  98     0.800  -15786932.246  2007166   0.00407  -0.00271
  99     0.800  -15786984.627  1833772   0.00711  -0.00409
 100     0.800  -15787109.599  1478634  -0.00300   0.00275
 101     0.800  -15787085.527  1463657   0.00028   0.00389
 102     0.800  -15787009.838  1508048   0.00498   0.00334
 103     0.800  -15787084.325  1985820   0.00385  -0.00543
 104     0.800  -15787062.223  1920734  -0.00598  -0.00460
 105     0.800  -15786965.318  2183580  -0.00421  -0.00872
 106     0.800  -15787079.962  1679602  -0.00081   0.00153
 107     0.800  -15786970.115  1942951  -0.00749  -0.00303
 108     0.800  -15787024.173  1774401   0.00264  -0.00247
 109     0.800  -15787001.931  1874977   0.00627  -0.00304
 110     0.800  -15786920.030  2016650   0.00096  -0.00530
 111     0.800  -15787010.354  1785443  -0.00833  -0.00184
 112     0.800  -15786993.482  1808395   0.00860  -0.00313
 113     0.800  -15786978.366  2163725   0.00325  -0.00680
 114     0.800  -15786960.419  2269656  -0.00784  -0.01156
 115     0.800  -15787052.864  1730060  -0.00591  -0.00083
 116     0.800  -15787033.289  2128597   0.00259  -0.00512
 117     0.800  -15786965.818  1866930   0.00175  -0.00341
 118     0.800  -15787030.630  1740921  -0.00017  -0.00069
 119     0.800  -15786984.242  1775856   0.00202  -0.00187
 120     0.800  -15787030.375  1648872   0.00773   0.00061
 121     0.800  -15787002.454  2157387   0.00495  -0.00777
 122     0.800  -15786958.167  1980577   0.00155  -0.00273
 123     0.800  -15786999.478  1980070  -0.00761  -0.00331
 124     0.800  -15787052.814  1522309  -0.00381   0.00345
 125     0.800  -15787025.371  2021843  -0.00009  -0.00503
 126     0.800  -15787036.116  1962126   0.00252  -0.00392
 127     0.800  -15786960.459  1839556   0.01105  -0.00347
 128     0.700  -15787149.640  1311767  -0.00762   0.00715
 129     0.800  -15787008.056  1613485   0.00081   0.00026
 130     0.800  -15787113.837  1473751  -0.00093   0.00401
 131     0.800  -15787118.326  1267789  -0.00299   0.00614
 132     0.700  -15787043.949  1869546  -0.00518  -0.00336
 133     0.800  -15787091.609  1693814   0.00805  -0.00123
 134     0.700  -15786980.118  1993445   0.00052  -0.00549
 135     0.800  -15787075.620  2113977   0.00249  -0.00602
 136     0.800  -15787101.772  1725285   0.00163   0.00061
 137     0.700  -15787151.464  1445640  -0.01043   0.00114
 138     0.800  -15786985.030  2398315   0.00522  -0.01159
 139     0.700  -15787058.814  1614678  -0.00244   0.00202
 140     0.800  -15787040.780  1735571   0.00361  -0.00147
 141     0.800  -15787034.285  2094508   0.00876  -0.00731
 142     0.800  -15787095.773  1552498   0.00228   0.00154
 143     0.800  -15787066.046  2000091  -0.00889  -0.00740
 144     0.700  -15787118.006  1836906   0.00652  -0.00068
 145     0.800  -15786986.314  1743140  -0.00965  -0.00205
 146     0.800  -15787003.816  1786525   0.00176  -0.00152
 147     0.800  -15787113.825  1757922   0.00515  -0.00192
 148     0.800  -15787075.992  1528169  -0.00197   0.00344
 149     0.800  -15787032.455  1357716  -0.00757   0.00499
 150     0.800  -15787021.581  1642930  -0.00180   0.00068
 151     0.800  -15787063.158  1402231  -0.00578   0.00485
 152     0.800  -15787076.710  1553402  -0.00219   0.00174
 153     0.800  -15786997.357  1778325   0.00154  -0.00249
 154     0.800  -15787000.747  1654942   0.00704   0.00245
 155     0.800  -15787013.008  1855977   0.00605  -0.00343
 156     0.700  -15787005.150  2491242  -0.00009  -0.01340
 157     0.800  -15786946.946  2213435  -0.00165  -0.00934
 158     0.800  -15787004.855  1885919  -0.00120  -0.00294
 159     0.800  -15787030.998  1533257  -0.00138   0.00076
 160     0.800  -15787056.528  1734953   0.00279   0.00019
 161     0.800  -15787089.959  1500468   0.00618   0.00383
 162     0.800  -15786982.886  2061263   0.00542  -0.00573
 163     0.800  -15787086.749  1427071  -0.00963   0.00439
 164     0.800  -15787059.748  1718061  -0.00430  -0.00191
 165     0.800  -15786887.523  1901654   0.00874  -0.00440
 166     0.800  -15787069.769  1649971  -0.00556   0.00014
 167     0.800  -15787104.669  1271665  -0.00487   0.00684
 168     0.800  -15787077.999  1260456   0.00555   0.00720
 169     0.800  -15786998.888  2069808   0.00489  -0.00657
 170     0.800  -15787080.069  1285679  -0.01282   0.00719
 171     0.800  -15786952.221  1520312   0.00179   0.00329
 172     0.800  -15787060.630  1480720   0.00002   0.00366
 173     0.800  -15787000.207  1879455  -0.00121  -0.00233
 174     0.800  -15787113.433  1365662  -0.00166   0.00613
 175     0.800  -15787039.907  1901987   0.00078  -0.00230
 176     0.800  -15787041.826  1638402   0.00523  -0.00057
 177     0.800  -15787031.628  1974067   0.00481  -0.00516
 178     0.700  -15787062.203  1399031  -0.00152   0.00525
 179     0.800  -15787017.188  1747414  -0.00021  -0.00288
 180     0.800  -15787080.630  1744040   0.00004  -0.00058
 181     0.800  -15787027.548  2014139   0.00269  -0.00372
 182     0.800  -15787002.991  1580051  -0.00059   0.00311
 183     0.800  -15787076.961  1323248  -0.00572   0.00680
 184     0.800  -15786975.270  1832073   0.00350  -0.00240
 185     0.800  -15787097.319  1770650  -0.00291  -0.00122
 186     0.800  -15787089.810  1539999   0.00701   0.00353
 187     0.800  -15787006.976  1679234   0.00363   0.00147
 188     0.800  -15787031.462  1560888   0.00834   0.00059
 189     0.800  -15787005.075  1751410  -0.00372  -0.00054
 190     0.700  -15787079.439  1438382   0.00548   0.00363
 191     0.800  -15787028.224  1780357   0.00602  -0.00078
 192     0.800  -15787077.985  1240713  -0.01019   0.00699
 193     0.800  -15787049.204  1551414  -0.00475   0.00184
 194     0.800  -15787005.560  1594374   0.00227   0.00109
 195     0.800  -15787044.476  1555659   0.00516   0.00314
 196     0.800  -15786966.807  2099685   0.00261  -0.00674
 197     0.800  -15787067.934  1529712   0.00142   0.00194
 198     0.800  -15787053.268  1910214  -0.00078  -0.00458
 199     0.800  -15787005.571  1776999   0.00436   0.00085
 200     0.800  -15787003.071  1668728   0.00591  -0.00058
 201     0.800  -15787042.304  1604918  -0.00261   0.00172
 202     0.800  -15787046.838  1926870  -0.00082  -0.00095
 203     0.800  -15787026.846  1770353   0.00162  -0.00337
 204     0.800  -15787101.834  1267842  -0.00086   0.00792
 205     0.800  -15787102.350  1443635  -0.00124   0.00128
 206     0.800  -15786962.299  1657950  -0.00783   0.00174
 207     0.800  -15787098.691  1680472   0.01273   0.00030
 208     0.800  -15787023.937  1570666   0.00241   0.00317
 209     0.800  -15787055.423  1886756  -0.00157  -0.00510
 210     0.800  -15787007.363  1831890  -0.00636  -0.00333
 211     0.800  -15786986.371  1711721  -0.00266  -0.00181
 212     0.800  -15787037.182  1380302   0.00437   0.00611
 213     0.800  -15787104.324  1672765  -0.00412  -0.00049
 214     0.800  -15787034.406  1433117   0.00794   0.00425
 215     0.800  -15787085.806  1614453   0.00412   0.00154
 216     0.800  -15787052.675  1763581  -0.00364  -0.00066
 217     0.800  -15787105.005  1686667   0.00784   0.00171
 218     0.800  -15787124.456  1442705   0.00076   0.00256
 219     0.800  -15787030.089  1353165   0.00351   0.00540
 220     0.800  -15786985.698  1704888   0.00713   0.00086
 221     0.800  -15787085.594  1738345  -0.00518   0.00088
 222     0.800  -15787033.382  1751633   0.00623  -0.00038
 223     0.800  -15787046.657  1527075  -0.00543   0.00326
 224     0.800  -15787013.368  1618028  -0.00654   0.00174
 225     0.800  -15787077.445  1733543  -0.00253  -0.00139
 226     0.800  -15786987.761  1705813  -0.00489  -0.00040
 227     0.800  -15787013.695  1725746   0.00258   0.00019
 228     0.700  -15787075.463  1931184   0.00577  -0.00099
 229     0.800  -15787081.630  1261304   0.00096   0.00616
 230     0.800  -15786984.410  1833120   0.00393  -0.00130
 231     0.800  -15786996.859  1994001   0.00475  -0.00532
 232     0.800  -15786999.151  1939978   0.00193  -0.00605
 233     0.700  -15787082.857  1813251  -0.00558  -0.00051
 234     0.800  -15787047.272  1285188  -0.00571   0.00670
 235     0.800  -15787064.245  1694998   0.00516  -0.00131
 236     0.800  -15787096.722  1830446   0.00057  -0.00367
 237     0.800  -15786904.305  2004673  -0.00297  -0.00373
 238     0.800  -15787071.586  1745757   0.01202  -0.00099
 239     0.700  -15787049.949  1944627  -0.01849  -0.00245
 240     0.800  -15787025.717  1620444  -0.00274   0.00208
 241     0.800  -15786990.593  1361753   0.00769   0.00480
 242     0.800  -15787034.615  1538758   0.00668   0.00522
 243     0.800  -15787094.753  1458400  -0.00150   0.00437
 244     0.800  -15787026.339  1683567  -0.00048  -0.00036
 245     0.800  -15787133.200  1318430  -0.00690   0.00665
 246     0.800  -15787021.408  1689320   0.00679   0.00027
 247     0.800  -15786987.153  1792767  -0.00107  -0.00044
 248     0.800  -15787064.233  1568287   0.00749   0.00403
 249     0.800  -15786954.733  2085676  -0.00052  -0.00681
 250     0.700  -15787111.571  1798553  -0.00949  -0.00297
 251     0.800  -15787074.151  1772160  -0.00685  -0.00075
 252     0.800  -15787014.612  1577115   0.00259   0.00247
 253     0.800  -15787025.589  1639685  -0.00377   0.00277
 254     0.800  -15787059.755  2005231  -0.00034  -0.00415
 255     0.800  -15787051.945  1503377  -0.00735   0.00324
 256     0.800  -15787012.068  1385742  -0.00525   0.00419
 257     0.800  -15786999.530  1411602   0.01277   0.00448
 258     0.800  -15787046.017  1270543  -0.00912   0.00535
 259     0.800  -15787052.082  1789852   0.01122  -0.00335
 260     0.800  -15787077.705  1300398  -0.00360   0.00581
 261     0.800  -15787052.077  1530794  -0.00151   0.00285
 262     0.800  -15787100.336  1487441  -0.00555   0.00468
 263     0.800  -15787039.625  1798991  -0.01631  -0.00040
 264     0.800  -15787117.190  1295942   0.00153   0.00759
 265     0.800  -15787076.594  1638510   0.00817   0.00019
 266     0.800  -15787085.494  1454017   0.00028   0.00383
 267     0.800  -15786953.723  2054435   0.00174  -0.00448
 268     0.800  -15787064.039  1700985  -0.00698   0.00068
 269     0.800  -15787025.659  1628162   0.00837   0.00305
 270     0.800  -15787025.036  1535178   0.00742   0.00290
 271     0.800  -15787098.342  1411507   0.00057   0.00472
 272     0.700  -15787097.924  1893104   0.00496  -0.00320
 273     0.800  -15786980.661  1882035   0.00683  -0.00204
 274     0.800  -15787051.656  1742997  -0.01248  -0.00002
 275     0.800  -15786946.510  2099856   0.00493  -0.00492
 276     0.800  -15787023.261  1784957   0.01100  -0.00056
 277     0.800  -15786957.200  2233624   0.00648  -0.00728
 278     0.800  -15787054.487  1783971  -0.00945  -0.00184
 279     0.800  -15787032.986  1367600   0.00088   0.00469
 280     0.800  -15787049.471  1465368  -0.00655   0.00277
 281     0.800  -15787046.353  1847759  -0.00247  -0.00029
 282     0.800  -15787094.973  1438702  -0.01201   0.00470
 283     0.800  -15787028.014  1733192   0.00315   0.00058
 284     0.800  -15787027.536  1468934  -0.00131   0.00352
 285     0.800  -15787002.080  1731806   0.00434  -0.00168
 286     0.800  -15786983.308  1558052   0.00321   0.00187
 287     0.800  -15787083.037  1396808   0.00265   0.00478
 288     0.800  -15787056.245  1508493  -0.00952   0.00263
 289     0.800  -15787031.631  1719661  -0.00010   0.00020
 290     0.800  -15787019.530  1782006   0.00819   0.00127
 291     0.800  -15787055.520  1510025   0.00324   0.00383
 292     0.800  -15786957.300  1511257  -0.00065   0.00131
 293     0.700  -15787078.969  1889952   0.00097  -0.00528
 294     0.800  -15786955.431  2024373  -0.00275  -0.00488
 295     0.800  -15787140.455  1267384   0.00288   0.00744
 296     0.800  -15787048.968  1387761   0.00602   0.00576
 297     0.800  -15787015.210  1420366   0.00703   0.00438
 298     0.800  -15787085.720  1375032  -0.01097   0.00490
 299     0.800  -15787022.558  1391151  -0.00003   0.00573
 300     0.800  -15787000.768  1674220  -0.00054  -0.00040
 301     0.700  -15787143.864  1320477  -0.00617   0.00805
 302     0.800  -15787061.239  1561099  -0.00596   0.00161
 303     0.800  -15787027.744  2044690   0.01158  -0.00538
 304     0.800  -15787099.179  1640985   0.00267  -0.00015
 305     0.800  -15786997.003  1681116   0.00115  -0.00007
 306     0.800  -15787085.236  1529896   0.00316   0.00250
 307     0.700  -15787086.383  1438396   0.00079   0.00468
 308     0.800  -15786997.997  1542318   0.00692   0.00025
 309     0.800  -15787050.583  1947684   0.00026  -0.00279
 310     0.800  -15787055.700  1585628   0.00685   0.00170
 311     0.800  -15786974.141  1864427  -0.01220  -0.00151
 312     0.800  -15787042.397  1618404  -0.00755   0.00158
 313     0.800  -15787037.103  2001160  -0.00307  -0.00492
 314     0.800  -15787000.305  1463415   0.00111   0.00372
 315     0.800  -15787056.759  1423592  -0.00927   0.00404
 316     0.800  -15787140.683  1462950   0.00161   0.00446
 317     0.800  -15787025.605  1686266   0.00190  -0.00049
 318     0.800  -15787029.167  1631570  -0.00107   0.00033
 319     0.800  -15787053.219  1459609  -0.00892   0.00492
 320     0.800  -15786994.358  2272616   0.00232  -0.00949
 321     0.800  -15787056.775  1385846   0.00274   0.00347
 322     0.800  -15787048.483  1732646  -0.01358   0.00042
 323     0.800  -15786983.585  1890080  -0.00857  -0.00298
 324     0.800  -15787005.519  2022632   0.00051  -0.00354
 325     0.800  -15787012.180  1805649   0.00520  -0.00038
 326     0.800  -15786994.039  2021008   0.00535  -0.00483
 327     0.800  -15787023.173  1828247   0.00018  -0.00207
 328     0.800  -15787111.554  1575948  -0.00538   0.00176
 329     0.800  -15786968.353  1638462   0.00339   0.00036
 330     0.700  -15787056.575  1260083  -0.00585   0.00820
 331     0.800  -15787085.215  1624412  -0.00884   0.00070
 332     0.800  -15787036.148  1640786   0.00506   0.00108
 333     0.800  -15787010.351  1524840  -0.00002   0.00438
 334     0.800  -15787118.720  1543104   0.00269   0.00336
 335     0.800  -15787143.133  1708294  -0.01114   0.00160
 336     0.800  -15787072.410  1488864   0.00305   0.00383
 337     0.800  -15787026.778  2098755  -0.00329  -0.00503
 338     0.800  -15787085.832  1456395  -0.00298   0.00553
 339     0.800  -15787019.706  1635365  -0.00649   0.00141
 340     0.800  -15786994.583  1852348  -0.00023  -0.00398
 341     0.800  -15787089.837  1400894  -0.00683   0.00491
 342     0.800  -15786998.384  1820588   0.00426  -0.00187
 343     0.800  -15787090.088  1493608   0.00071   0.00236
 344     0.800  -15787059.298  1198923  -0.00295   0.00792
 345     0.800  -15787014.667  1893098   0.00424  -0.00469
 346     0.800  -15787030.602  1862904  -0.00287  -0.00263
 347     0.800  -15787009.873  1530972  -0.00646   0.00310
 348     0.800  -15787005.227  1623192   0.00356   0.00074
 349     0.800  -15786992.535  1774615   0.00580   0.00083
 350     0.800  -15787017.242  1489076  -0.00020   0.00336
 351     0.800  -15787075.092  1737474   0.00065  -0.00173
 352     0.800  -15787033.415  2042269   0.01313  -0.00513
 353     0.800  -15787002.653  1492996  -0.00030   0.00292
 354     0.800  -15787019.187  1787943   0.00934   0.00029
 355     0.800  -15787111.180  1502994   0.00304   0.00264
 356     0.800  -15787028.363  1789320   0.00640  -0.00233
 357     0.800  -15787067.063  1468610  -0.00377   0.00267
 358     0.800  -15787106.946  1276753  -0.00219   0.00668
 359     0.800  -15786997.719  2143660   0.00680  -0.00610
 360     0.800  -15787156.578  1724609  -0.00112  -0.00034
 361     0.800  -15786987.817  1483648  -0.00122   0.00261
 362     0.700  -15787076.739  2016024   0.00421  -0.00437
 363     0.800  -15787061.204  1377256   0.00133   0.00379
 364     0.800  -15787017.638  2132782   0.00431  -0.00611
 365     0.800  -15786989.093  1982939   0.00027  -0.00425
 366     0.700  -15787010.121  2082562   0.00653  -0.00556
 367     0.700  -15787108.545  1628089  -0.00503   0.00112
 368     0.800  -15787020.741  1745105   0.00272  -0.00267
 369     0.800  -15787032.590  2136218   0.00432  -0.00798
 370     0.800  -15786995.200  2380327  -0.00488  -0.01007
 371     0.800  -15787021.054  1783701   0.00076  -0.00168
 372     0.800  -15787052.615  1527024   0.00403   0.00104
 373     0.800  -15787035.555  1448815   0.00257   0.00358
 374     0.800  -15787062.971  1507730  -0.00787   0.00292
 375     0.800  -15787039.089  1640233   0.00232  -0.00209
 376     0.800  -15787064.245  1662452  -0.00346  -0.00055
 377     0.800  -15787004.150  1824211   0.00296  -0.00274
 378     0.800  -15787034.570  1898580  -0.00167  -0.00614
 379     0.800  -15787062.619  1966788  -0.00153  -0.00640
 380     0.800  -15787054.506  1960679   0.00510  -0.00363
 381     0.800  -15787014.858  1708557   0.00955  -0.00041
 382     0.800  -15787023.032  1646836   0.00536  -0.00026
 383     0.800  -15786978.950  1937011   0.00002  -0.00337
 384     0.800  -15787073.768  1733007   0.00175  -0.00189
 385     0.800  -15787027.539  1566569  -0.00254   0.00213
 386     0.800  -15787052.866  1417743  -0.00405   0.00299
 387     0.800  -15786943.277  1489968   0.00514   0.00359
 388     0.800  -15787089.356  1507226  -0.00803   0.00403
 389     0.800  -15787016.109  1723223  -0.00105  -0.00175
 390     0.800  -15787023.115  1349971   0.00133   0.00633
 391     0.800  -15786997.867  1528766   0.00456   0.00258
 392     0.800  -15787069.103  1253171  -0.00119   0.00814
 393     0.800  -15787028.506  1662220   0.00206   0.00054
 394     0.800  -15787058.969  1532032  -0.00755   0.00311
 395     0.800  -15787053.507  1697661  -0.00234   0.00094
 396     0.800  -15787074.236  1632285  -0.00490  -0.00077
 397     0.800  -15787045.639  1799704  -0.00476  -0.00188
 398     0.800  -15787033.407  1789149  -0.00246  -0.00074
 399     0.800  -15787075.773  1949452  -0.01071  -0.00507
 400     0.800  -15787070.948  1632179   0.00362   0.00006
 401     0.800  -15787015.743  1608728  -0.00406   0.00139
 402     0.800  -15787000.136  1735337   0.00905  -0.00193
 403     0.800  -15787064.534  1669054   0.00278  -0.00085
 404     0.700  -15787116.138  1380095  -0.00769   0.00479
 405     0.700  -15787096.218  1461927   0.00123   0.00606
 406     0.800  -15787095.137  1314203  -0.01282   0.00576
 407     0.800  -15786991.354  1415579   0.00114   0.00289
 408     0.800  -15787097.487  1653903   0.00132   0.00109
 409     0.700  -15787125.590  1302354  -0.01017   0.00572
 410     0.800  -15786985.712  1212575   0.00162   0.00763
 411     0.800  -15787069.653  1836202   0.00073  -0.00274
 412     0.800  -15787027.473  1544256  -0.00378   0.00234
 413     0.800  -15787016.142  2186301  -0.00757  -0.00821
 414     0.800  -15787080.811  1353141   0.00290   0.00552
 415     0.800  -15787031.309  1755833  -0.01591  -0.00049
 416     0.800  -15787042.256  1492416  -0.00025   0.00403
 417     0.800  -15787102.667  1621372   0.00452   0.00118
 418     0.800  -15787064.492  1336672  -0.00230   0.00559
 419     0.800  -15787068.704  1649466  -0.00185   0.00037
 420     0.800  -15787030.109  1699806  -0.00923  -0.00105
 421     0.800  -15787104.876  1805194   0.00470  -0.00195
 422     0.800  -15787075.924  1490041  -0.00798   0.00266
 423     0.800  -15787012.517  1665766  -0.00289   0.00061
 424     0.800  -15787099.651  1689041  -0.01078   0.00011
 425     0.800  -15787000.249  1693558   0.00520   0.00043
 426     0.800  -15787020.482  1311708  -0.00035   0.00631
 427     0.800  -15787091.275  1705635   0.00687   0.00017
 428     0.800  -15787025.541  1619913  -0.00688  -0.00055
 429     0.800  -15787042.500  2259707   0.01008  -0.00869
 430     0.800  -15787036.187  1707277   0.00622   0.00007
 431     0.800  -15787056.172  1432926   0.00036   0.00455
 432     0.800  -15787066.687  1577126  -0.00055   0.00301
 433     0.800  -15787002.457  1734089   0.00661  -0.00158
 434     0.800  -15787067.863  1446737  -0.00119   0.00325
 435     0.800  -15787079.646  1484159   0.00108   0.00367
 436     0.800  -15787087.168  1302842   0.00651   0.00648
 437     0.800  -15786995.560  1847382  -0.00128  -0.00388
 438     0.800  -15787063.477  1464450   0.00217   0.00263
 439     0.800  -15787067.231  1592632   0.00345   0.00229
 440     0.800  -15787048.444  1745666   0.00065   0.00011
 441     0.800  -15787168.157  1514621  -0.00710   0.00226
 442     0.800  -15787074.942  1568191  -0.00892   0.00005
 443     0.700  -15787044.882  1755673   0.00428   0.00054
 444     0.800  -15786981.441  1949067   0.00541  -0.00367
 445     0.800  -15787008.507  1535931  -0.00205   0.00143
 446     0.800  -15786989.909  2060068   0.00213  -0.00418
 447     0.800  -15787063.566  1418044   0.00226   0.00474
 448     0.800  -15787009.193  1966105  -0.00368  -0.00170
 449     0.800  -15786993.286  1516117   0.01186   0.00113
 450     0.800  -15786997.297  1735766   0.00425   0.00013
 451     0.800  -15787091.712  1486799   0.00162   0.00281
 452     0.800  -15786999.436  1771353   0.00094  -0.00283
 453     0.800  -15787007.069  1256046  -0.00930   0.00608
 454     0.800  -15787075.636  1713592  -0.00378  -0.00025
 455     0.800  -15786994.844  1809490   0.00464  -0.00371
 456     0.800  -15787062.267  1296838  -0.00386   0.00696
 457     0.800  -15787115.064  1650342  -0.00190   0.00063
 458     0.800  -15786998.267  1306427   0.00096   0.00557
 459     0.800  -15786967.448  1754045  -0.00040  -0.00038
 460     0.800  -15787014.901  1790974   0.00077  -0.00204
 461     0.800  -15786999.897  1521407   0.00655   0.00283
 462     0.800  -15786999.016  2041974   0.00865  -0.00625
 463     0.800  -15787091.527  1476578  -0.00231   0.00277
 464     0.800  -15787077.039  1404249   0.00473   0.00463
 465     0.800  -15786969.328  2104669  -0.01117  -0.00485
 466     0.800  -15787012.427  1681017  -0.00087  -0.00064
 467     0.800  -15786956.903  1468607  -0.00267   0.00232
 468     0.800  -15787046.169  1447929  -0.01001   0.00394
 469     0.800  -15787072.477  1438463  -0.00526   0.00288
 470     0.800  -15787011.105  1813740   0.00191  -0.00155
 471     0.800  -15787042.776  1640229  -0.00386  -0.00025
 472     0.800  -15787036.273  1524714  -0.00087   0.00207
