Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     5.580  -9691426.200  182687045   0.01047   0.04693
   2     5.250  -9691355.628  186361545   0.00226   0.03841
   3     5.440  -9691258.058  185180387   0.00419   0.05483
   4     5.420  -9691386.826  185724737   0.00526   0.05734
   5     5.360  -9691178.578  182915175  -0.00373   0.06519
   6     5.380  -9691549.940  189166866  -0.00036   0.05092
   7     5.400  -9691478.468  187903359   0.00551   0.03470
   8     5.300  -9691342.705  188029074   0.00055   0.03712
   9     5.190  -9691251.162  190158483   0.00021   0.02927
  10     5.280  -9691362.066  187081438   0.00730   0.05111
  11     5.190  -9691361.973  186533085   0.00229   0.05860
  12     5.370  -9691577.803  186509085   0.00004   0.04219
  13     5.490  -9691538.622  184765989   0.00039   0.04366
  14     5.270  -9691169.656  186331523   0.00081   0.05993
  15     5.510  -9691544.922  182624823  -0.00137   0.04641
  16     5.340  -9691358.611  191936997  -0.00057   0.02570
  17     5.350  -9691502.717  190092674   0.00406   0.04918
  18     5.370  -9691397.906  185525448   0.00531   0.04988
  19     5.360  -9691580.856  187293554   0.00818   0.04079
  20     5.340  -9691440.336  186598939   0.01367   0.03504
  21     5.390  -9691346.525  190930828  -0.00146   0.03197
  22     5.410  -9691508.210  189587397   0.00440   0.03289
  23     5.250  -9691510.354  179391431   0.00797   0.05989
  24     5.350  -9691364.990  179483823   0.00217   0.07058
  25     5.480  -9691337.686  182418494   0.00561   0.06886
  26     5.480  -9691519.543  185335309  -0.00125   0.05353
  27     5.210  -9691416.351  184452980  -0.00068   0.05518
  28     5.400  -9691251.058  186695488  -0.00678   0.05441
  29     5.250  -9691461.958  191220345   0.00381   0.02680
  30     5.180  -9691402.088  191080182   0.00860   0.02077
  31     5.480  -9691262.528  186314338   0.00277   0.03366
  32     5.560  -9691356.812  182245635  -0.00730   0.05708
  33     5.560  -9691664.021  182025667   0.00744   0.04166
  34     5.480  -9691418.856  190634153   0.00521   0.02598
  35     5.340  -9691480.989  181996248   0.00800   0.06443
  36     5.090  -9691330.095  185501228   0.00266   0.03828
  37     5.420  -9691220.463  186494040  -0.00673   0.03831
  38     5.590  -9691608.736  188751124   0.00066   0.03013
  39     5.380  -9691505.219  185270559   0.00010   0.03676
  40     5.280  -9691523.606  183757005   0.00004   0.06150
  41     5.500  -9691454.902  182382036  -0.00097   0.06153
  42     5.350  -9691458.256  177843365   0.00791   0.06006
  43     5.310  -9691489.385  183546992  -0.00171   0.05031
  44     5.500  -9691441.187  191003577  -0.00274   0.02483
  45     5.290  -9691366.959  190061931  -0.00262   0.04669
  46     5.400  -9691480.422  187691912   0.00653   0.05198
  47     5.240  -9691362.802  188074733   0.00357   0.04048
  48     5.400  -9691210.542  190181139  -0.00001   0.04454
  49     5.340  -9691328.142  186242192   0.00706   0.03841
  50     5.390  -9691698.146  184607733   0.00094   0.06389
  51     5.320  -9691510.434  180949326   0.00175   0.07612
  52     5.420  -9691599.246  184399874   0.01474   0.05552
  53     5.220  -9691407.316  185773254   0.00605   0.05711
  54     5.300  -9691366.943  191147284   0.00776   0.02925
  55     5.410  -9691597.241  183566696  -0.00291   0.05475
  56     5.160  -9691453.002  185573021   0.01121   0.05092
  57     5.490  -9691411.001  190087701   0.00205   0.02817
  58     5.230  -9691395.782  177497754   0.00033   0.06754
  59     5.240  -9691529.325  186212610   0.00385   0.04378
  60     5.260  -9691588.307  186150873   0.00952   0.03999
  61     5.490  -9691206.789  184758925   0.00062   0.05876
  62     5.210  -9691448.476  190300549   0.00138   0.03359
  63     5.250  -9691381.805  186511036   0.00439   0.04077
  64     5.640  -9691570.498  189328825   0.00216   0.03075
  65     5.480  -9691618.694  190771483   0.00551   0.03793
  66     5.240  -9691339.972  180406133   0.00899   0.06726
  67     5.620  -9691468.673  187457788   0.00567   0.05989
  68     5.210  -9691371.777  184370713   0.00252   0.03594
  69     5.390  -9691270.849  187308294   0.00988   0.03991
  70     5.490  -9691552.390  188443265   0.00209   0.03591
  71     5.360  -9691463.963  185301115   0.00410   0.05094
  72     5.340  -9691534.111  183582073   0.01111   0.04318
  73     5.670  -9691335.097  187963597   0.00274   0.02706
  74     5.430  -9691407.455  187920079  -0.00183   0.03259
  75     5.290  -9691272.891  189912063  -0.00008   0.02609
  76     5.340  -9691418.715  188926108  -0.00038   0.02517
  77     5.260  -9691415.847  183637769   0.00535   0.03000
  78     5.330  -9691378.319  186287551   0.00218   0.04905
  79     5.400  -9691473.910  187515224   0.01103   0.02467
  80     5.300  -9691448.253  185475720   0.00764   0.05057
  81     5.440  -9691425.269  189467984  -0.00001   0.04022
  82     5.320  -9691472.917  185747715   0.00807   0.04719
  83     5.250  -9691473.952  189594594   0.01087   0.03616
  84     5.260  -9691397.056  184601355   0.00356   0.03863
  85     5.430  -9691285.345  189248216   0.00552   0.04621
  86     5.360  -9691497.051  187347588  -0.00200   0.02899
  87     5.190  -9691342.856  184482349   0.00288   0.05333
  88     5.560  -9691280.047  182974415   0.00541   0.05053
  89     5.250  -9691549.257  180374525   0.00510   0.05873
  90     5.170  -9691399.980  185503266   0.00933   0.04761
  91     5.370  -9691518.549  178394946   0.00449   0.07521
  92     5.490  -9691331.941  188328144   0.00766   0.04592
