
Rho     Fit     CLR     CF

    0.67 12553.41 2230.888  -46.306
    0.68 12576.60 1921.418  -14.098
    0.66 12547.27 2096.841 -163.970
    0.68 12596.34 1939.413   28.806
    0.64 12488.82 3640.377  -30.474
    0.65 11763.63 2593.212 -142.510
    0.62 10936.32 3492.251 -191.114
    0.73 14069.50  907.348 -197.808
    0.65 11605.36 3489.728  -50.250
    0.68 12517.18 2091.155  -54.339
    0.68 11547.37 2558.013 -152.595
    0.65 11856.64 2952.323 -154.068
    0.71 13287.63 1506.884  -23.219
    0.66 12813.56 2486.078  -95.792
    0.67 12308.84 2167.702 -185.966
    0.66 11784.20 2439.618 -132.132
    0.62 10505.55 3479.868   13.441
    0.59 10143.33 4816.923 -214.712
    0.62 11020.97 3786.857 -131.949
    0.64 11471.08 2954.241 -118.382
    0.66 12949.71 2390.423   -3.494
    0.64 10013.93 3261.570 -217.333
    0.64 11486.72 2813.667  -87.567
    0.67 12097.97 1965.154  -91.962
    0.62 10837.13 2984.510 -221.895
    0.70 13106.80 1314.342   16.873
    0.66 12478.73 2547.937   61.894
    0.61 10587.21 3322.052 -114.259
    0.68 12034.17 1918.777  -63.585
    0.66 12042.86 2674.742 -102.779
    0.62 10968.92 3701.220  -97.578
    0.66 12149.65 2190.100  -79.726
    0.64 11825.94 2107.962  -47.955
    0.67 12100.00 2353.716  -37.724
    0.64 11643.55 3364.313  -93.506
    0.63 10810.74 3592.122 -159.473
    0.61 10766.45 3698.317 -164.427
    0.65 11275.76 3256.613  -40.466
    0.72 13278.17 1471.470  -62.177
    0.64 11409.22 3156.716   24.314
    0.68 12936.56 2499.625 -141.993
    0.63 12965.83 4224.003  133.824
    0.57  9802.90 4913.350  -81.206
    0.69 13218.17 1792.479   17.722
    0.64 11701.09 3496.414  138.355
    0.67 11499.08 2269.513 -173.373
    0.65 11991.30 2707.300 -207.668
    0.72 13611.75  991.251 -113.528
    0.62 10919.66 3191.791 -215.635
    0.68 11495.79 2502.468  -63.233
    0.63 11786.52 2465.465 -206.477
    0.63 11731.47 3605.106  -60.870
    0.63 11566.50 3497.414  -45.297
    0.73 13401.51  679.938  -97.672
    0.68 12301.03 2018.040    6.166
    0.73 13222.47  720.452 -120.861
    0.60 10984.35 4677.040 -161.541
    0.72 13446.58 1043.215 -224.078
    0.69 12688.96 1643.048 -210.132
    0.68 13290.55 1814.109  -92.759
    0.64 11113.23 3252.675 -138.308
    0.68 12696.73 2064.174  -70.852
    0.74 13653.76  741.342 -116.689
    0.69 13754.87 1797.687  -62.877
    0.75 13780.38 1459.348  -37.107
    0.69 12787.32 1730.581  -44.666
    0.66 13616.74 3129.745   23.774
    0.64 11971.00 2870.235   41.584
    0.63 10598.43 3536.988  -81.269
    0.65 11279.26 2411.765 -324.196
