Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     1.380  -10278716.463  6252568   0.00121  -0.00087
   2     1.370  -10278718.892  6543170  -0.00011  -0.00621
   3     1.440  -10278691.494  5743637   0.00754   0.00316
   4     1.380  -10278723.640  5937466  -0.00336   0.00204
   5     1.480  -10278713.923  5872602  -0.00601   0.00085
   6     1.360  -10278721.836  6067566   0.00201  -0.00048
   7     1.390  -10278761.905  5397687  -0.00788   0.00772
   8     1.460  -10278775.202  6357726   0.01164  -0.00311
   9     1.410  -10278733.157  5866677   0.00013   0.00364
  10     1.470  -10278686.539  6269796   0.00134  -0.00135
  11     1.360  -10278659.849  6113912  -0.00406  -0.00065
  12     1.450  -10278716.968  5436917  -0.00239   0.00556
  13     1.370  -10278659.774  5983229  -0.00022   0.00038
  14     1.420  -10278735.489  6146904  -0.00176  -0.00161
  15     1.420  -10278733.420  6077950  -0.00874  -0.00099
  16     1.410  -10278789.976  5027824   0.00446   0.01153
  17     1.510  -10278712.962  5971827   0.00109   0.00121
  18     1.380  -10278731.030  5943022   0.00265   0.00036
  19     1.330  -10278746.053  6187898  -0.00128  -0.00208
  20     1.470  -10278730.998  6404206   0.00378  -0.00419
  21     1.390  -10278837.030  5813572  -0.00002   0.00106
  22     1.420  -10278685.257  6368677  -0.00660  -0.00325
  23     1.350  -10278795.942  5661998   0.00959   0.00480
  24     1.430  -10278816.425  5650814   0.00382   0.00553
  25     1.380  -10278839.788  5544813  -0.00040   0.00497
  26     1.330  -10278788.994  5708714   0.00058   0.00297
  27     1.480  -10278698.889  5990206  -0.00449   0.00182
  28     1.420  -10278624.285  7036565  -0.00553  -0.01121
  29     1.420  -10278780.414  6138198   0.00623  -0.00245
  30     1.420  -10278872.744  6030351   0.00584  -0.00058
  31     1.420  -10278610.138  6452417  -0.01082  -0.00427
  32     1.420  -10278657.957  5672240   0.00254   0.00430
  33     1.460  -10278787.993  6061186   0.00078   0.00099
  34     1.380  -10278748.935  6427466   0.00700  -0.00381
  35     1.440  -10278757.627  6634760   0.00309  -0.00533
  36     1.380  -10278716.775  6099722   0.00209  -0.00263
  37     1.350  -10278736.369  5839369   0.00295   0.00121
