Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     4.200  -19704264.510  30044373  -0.00483   0.00452
   2     4.100  -19703873.591  32987879   0.00297  -0.00300
   3     4.130  -19704248.461  30189235  -0.00229   0.00360
   4     4.280  -19703988.924  31918304  -0.00539   0.00064
   5     4.040  -19704058.786  33061060   0.00216  -0.00089
   6     4.200  -19703950.129  30732010  -0.00802   0.00169
   7     4.090  -19704078.882  31796438   0.00504  -0.00098
   8     3.920  -19704240.150  31243511   0.00116   0.00085
   9     4.100  -19703902.845  32425887   0.00398  -0.00244
  10     4.060  -19704287.637  30891786   0.00765   0.00340
  11     4.100  -19704394.868  29618688   0.00017   0.00674
  12     4.060  -19704076.941  32705008   0.00171  -0.00278
  13     4.100  -19703793.634  34194356   0.00097  -0.00754
  14     4.120  -19704188.136  30943419  -0.00074   0.00208
  15     4.070  -19703839.849  32259698  -0.00466  -0.00227
  16     3.960  -19703944.638  33395045   0.00634  -0.00398
  17     4.180  -19703847.475  31965221  -0.00938   0.00008
  18     3.890  -19704075.799  30372678   0.00307   0.00148
  19     4.090  -19703969.796  31976473  -0.00330  -0.00164
  20     4.220  -19703735.698  32242656  -0.00335  -0.00225
  21     4.240  -19703853.098  33407547   0.00110  -0.00810
  22     4.030  -19704092.872  29394384  -0.00160   0.00697
  23     4.070  -19703737.573  31579101  -0.00674  -0.00008
  24     4.000  -19704084.388  31935790   0.00064  -0.00283
  25     4.060  -19704262.581  31739599   0.00349  -0.00046
  26     4.230  -19703895.512  31744415  -0.00271   0.00112
  27     4.250  -19703777.255  31051736   0.00031   0.00057
  28     4.150  -19704018.137  33431304  -0.00351  -0.00565
  29     4.110  -19703951.377  34244735   0.00457  -0.00758
  30     3.990  -19704023.186  33645974  -0.00062  -0.00481
  31     4.240  -19703861.616  32362487  -0.00131  -0.00431
  32     4.020  -19704256.589  29868206   0.00184   0.00440
