Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     5.065  -8924233.973  26548731  -0.00181  -0.00173
   2     4.985  -8924464.741  23669398  -0.00454   0.01281
   3     4.895  -8924305.039  26519338   0.00061  -0.00131
   4     4.905  -8924504.760  24484996   0.00177   0.00679
   5     4.845  -8924339.839  26162781  -0.00506   0.00110
   6     5.015  -8924418.575  24873715   0.00244   0.00629
   7     4.975  -8924319.777  26370879   0.00290  -0.00284
   8     5.045  -8924350.895  26068193   0.00244   0.00028
   9     5.005  -8924347.693  26253387  -0.00558  -0.00115
  10     4.995  -8924311.306  26408130  -0.00481  -0.00124
  11     4.955  -8924322.457  27307116   0.00241  -0.00807
  12     4.995  -8924265.175  26569896  -0.00113  -0.00510
  13     4.935  -8924415.396  25215848   0.00086   0.00453
  14     4.935  -8924355.047  26166019   0.00673   0.00217
  15     4.985  -8924507.674  25261169   0.00501   0.00301
  16     5.015  -8924275.410  25720929  -0.00446   0.00266
  17     4.995  -8924427.655  25304273   0.00602   0.00271
  18     4.875  -8924419.601  27382887   0.00916  -0.00467
  19     5.095  -8924257.153  23956420  -0.01294   0.00754
  20     4.985  -8924178.571  26183648  -0.00551   0.00094
  21     4.815  -8924381.924  26899325  -0.00002  -0.00120
  22     4.915  -8924491.259  26050026   0.00279  -0.00005
  23     4.935  -8924362.019  26054216   0.00370   0.00413
  24     5.005  -8924292.779  26600605   0.00043  -0.00146
  25     4.945  -8924294.325  26113698  -0.00261   0.00175
  26     4.875  -8924421.797  25700247   0.00036   0.00220
  27     5.005  -8924302.255  26395571   0.00016  -0.00354
  28     4.795  -8924415.076  26170599   0.00604  -0.00188
  29     4.935  -8924297.568  26872332   0.00083  -0.00454
  30     4.965  -8924280.784  26952267  -0.00021  -0.00321
  31     4.935  -8924406.823  24957035   0.00021   0.00638
  32     4.955  -8924235.336  26640660   0.00479  -0.00190
  33     5.135  -8924202.362  28103855   0.00295  -0.01119
  34     4.925  -8924418.741  25540583   0.00037   0.00251
  35     4.925  -8924275.971  27074353   0.00153  -0.00740
  36     4.875  -8924284.654  27534633   0.00176  -0.00532
  37     5.055  -8924463.658  25021448  -0.00455   0.00390
  38     4.935  -8924225.147  27659450   0.00599  -0.00831
  39     4.945  -8924238.041  26249969  -0.00378  -0.00027
  40     4.965  -8924588.148  23794615   0.00459   0.01200
  41     4.955  -8924350.868  26764513   0.00382  -0.00362
  42     4.955  -8924200.985  28129152   0.00668  -0.01100
  43     4.905  -8924465.139  25083262   0.00378   0.00537
  44     4.925  -8924326.470  26109966   0.00078   0.00146
  45     4.915  -8924127.066  29100215   0.00260  -0.01324
  46     4.865  -8924323.207  26236950   0.00617  -0.00013
  47     4.875  -8924284.908  26924543   0.00347  -0.00364
  48     4.955  -8924416.315  25879742  -0.00112  -0.00149
  49     4.915  -8924255.925  27241302   0.00520  -0.00421
  50     4.875  -8924379.349  26160844   0.00361   0.00056
  51     5.015  -8924363.513  25777719   0.00164  -0.00067
  52     5.025  -8924181.858  26448770  -0.01151  -0.00618
  53     5.055  -8924159.366  26909749  -0.00368  -0.00485
  54     4.875  -8924390.185  26069327  -0.00084   0.00103
  55     4.825  -8924387.615  27263197   0.00559  -0.00544
  56     4.975  -8924435.822  24166719   0.00356   0.00873
  57     4.825  -8924297.863  26648226   0.00585  -0.00378
  58     5.065  -8924167.102  26832490  -0.00617  -0.00642
  59     4.855  -8924369.602  25305331  -0.00062   0.00448
  60     4.815  -8924414.339  25303279   0.00290   0.00557
  61     5.005  -8924254.731  26701165  -0.00218  -0.00366
  62     5.015  -8924384.101  26065149   0.00115  -0.00039
  63     4.965  -8924389.704  25062011  -0.00367   0.00537
  64     4.955  -8924264.470  25958803  -0.00987   0.00252
  65     4.845  -8924394.780  26549358   0.00589  -0.00125
  66     4.945  -8924476.984  24116097  -0.00733   0.00980
  67     4.805  -8924450.742  25359175   0.00331   0.00472
  68     5.015  -8924264.836  25439949  -0.00057   0.00111
  69     4.895  -8924410.784  25169953  -0.00111   0.00485
  70     4.885  -8924325.691  25743499  -0.00073   0.00263
  71     4.915  -8924279.673  26110552  -0.00623  -0.00055
  72     4.985  -8924448.719  25711352   0.00692   0.00134
  73     5.035  -8924403.001  25474737   0.00096   0.00134
  74     4.875  -8924404.882  25101255   0.00069   0.00699
  75     5.035  -8924396.320  24424661   0.00065   0.01171
  76     4.855  -8924299.743  27147777  -0.00100  -0.00617
  77     5.085  -8924381.592  25949736  -0.00957  -0.00052
  78     4.855  -8924402.175  25956415   0.00080   0.00132
  79     4.835  -8924275.659  28053709   0.00262  -0.00913
  80     4.955  -8924222.641  27471996   0.00005  -0.00845
  81     4.875  -8924221.339  27056702  -0.00516  -0.00407
  82     4.935  -8924345.326  26542294   0.00666  -0.00386
  83     4.885  -8924285.323  26882877  -0.00237  -0.00446
  84     5.005  -8924247.401  25181782  -0.00567   0.00335
  85     4.785  -8924301.914  27009593   0.00798  -0.00617
  86     4.985  -8924244.818  26395739  -0.00032  -0.00335
  87     5.035  -8924390.438  25974175   0.00109  -0.00097
  88     4.895  -8924469.919  25428876  -0.00017   0.00522
  89     4.945  -8924211.578  26756941  -0.00484  -0.00340
  90     5.035  -8924213.413  26451543  -0.00535  -0.00427
  91     5.065  -8924234.946  27743465   0.00493  -0.00910
  92     4.995  -8924449.090  24665489  -0.00350   0.00620
  93     4.905  -8924333.349  25432969   0.00357   0.00683
  94     4.945  -8924399.916  25105716   0.00378   0.00626
  95     4.915  -8924379.322  27206811   0.00652  -0.00540
  96     4.925  -8924493.004  24703564   0.00489   0.00813
  97     4.885  -8924142.741  27706035  -0.00226  -0.00718
  98     4.795  -8924310.700  26753758   0.00107  -0.00302
  99     4.975  -8924186.887  27297886   0.00029  -0.00413
 100     4.895  -8924344.600  26398138   0.00455  -0.00448
 101     4.865  -8924296.261  26886894   0.00376  -0.00670
 102     4.895  -8924358.265  26969700   0.00086  -0.00728
 103     4.935  -8924434.423  27352954   0.00358  -0.00702
 104     4.895  -8924346.905  26140146   0.00083  -0.00062
 105     4.895  -8924301.092  26482572  -0.00367  -0.00243
 106     4.965  -8924451.233  24673127  -0.00437   0.00861
 107     5.055  -8924381.436  24917228  -0.00838   0.00648
 108     4.945  -8924256.819  28186932   0.00435  -0.01016
 109     4.995  -8924464.893  24803587   0.00529   0.00559
 110     4.955  -8924352.682  25975138  -0.00036   0.00101
