Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     5.896  -11515229.199  43766210  -0.00161  -0.00120
   2     6.006  -11515292.705  43030388  -0.00349  -0.00058
   3     5.766  -11515433.433  44339649   0.00398  -0.00155
   4     5.956  -11515485.201  41647208   0.00135   0.00716
   5     6.076  -11515212.700  42605636  -0.00126   0.00295
   6     5.796  -11515350.136  43562432  -0.00079   0.00143
   7     6.076  -11515291.153  41908038  -0.00128   0.00480
   8     6.006  -11515178.258  43976815   0.00125  -0.00338
   9     5.986  -11515127.616  44608800  -0.00342  -0.00298
  10     6.026  -11515455.259  41769536  -0.00335   0.00564
  11     6.066  -11515226.574  44064743   0.00028  -0.00412
  12     5.926  -11515157.634  44633126   0.00357  -0.00416
  13     5.916  -11515370.450  43488846   0.00506   0.00169
  14     5.996  -11515317.928  41859739  -0.00834   0.00506
  15     5.996  -11515401.488  42704936   0.00484   0.00327
  16     5.936  -11515256.531  43087058  -0.00059   0.00622
  17     5.816  -11515307.186  43749832   0.00158   0.00105
  18     5.906  -11515278.461  43247623  -0.00261   0.00144
  19     5.936  -11515656.999  40034191  -0.00473   0.01612
  20     6.116  -11515211.437  41428058  -0.00597   0.00269
  21     6.136  -11515247.065  42544458   0.00502   0.00223
  22     5.836  -11515565.458  42914653  -0.00099   0.00296
  23     5.976  -11515382.189  40620077  -0.00420   0.01113
  24     6.286  -11514934.171  44385209  -0.00311  -0.00797
  25     6.056  -11515123.172  42786574  -0.00426   0.00409
  26     6.056  -11515276.060  43008596   0.00327   0.00100
  27     5.906  -11515407.868  44573124   0.00529  -0.00276
  28     6.056  -11515296.175  42254677   0.00104   0.00199
  29     5.966  -11515412.137  42842299   0.00145   0.00088
  30     5.836  -11515339.283  45943967   0.00667  -0.00521
  31     5.886  -11515491.817  42820314   0.00113   0.00351
  32     5.886  -11515487.382  43006549   0.00051   0.00330
  33     6.016  -11515297.599  44883834   0.00524  -0.00282
  34     5.986  -11515351.174  42473578   0.00026   0.00448
  35     5.996  -11515250.453  42536822  -0.00252   0.00721
  36     6.126  -11515123.583  43669451   0.00335   0.00050
  37     6.056  -11515364.514  42557494   0.00262   0.00482
  38     6.086  -11515318.597  44308171   0.00308  -0.00370
  39     5.886  -11515273.006  43509938  -0.00257  -0.00145
  40     5.946  -11515488.071  40669282   0.00172   0.01095
  41     5.816  -11515219.061  46550703   0.00425  -0.00780
  42     5.836  -11515420.230  44527736   0.00683  -0.00029
  43     5.986  -11515159.394  44704831   0.00224  -0.00483
  44     5.956  -11515264.862  45399110  -0.00511  -0.00232
  45     6.116  -11515283.252  43643035   0.00364  -0.00247
  46     5.796  -11515233.061  45542094   0.00396  -0.00616
  47     6.066  -11515277.892  46037594  -0.00005  -0.01068
  48     6.006  -11515227.846  43764625   0.00134  -0.00141
  49     5.846  -11515608.824  42198499   0.00287   0.00448
  50     6.156  -11515261.065  43000077  -0.00157  -0.00049
  51     5.926  -11515116.846  44124996   0.00213  -0.00146
  52     6.006  -11515287.353  43702141   0.00040  -0.00208
  53     5.916  -11515259.807  43595323  -0.00033  -0.00156
  54     6.156  -11515138.568  44204606   0.00127  -0.00227
  55     6.076  -11515077.642  44980666  -0.00291  -0.00582
  56     5.916  -11515066.718  45539249   0.00234  -0.00533
  57     6.066  -11515221.440  44539020  -0.00048  -0.00493
  58     5.966  -11515114.799  43866125   0.00112  -0.00276
  59     6.176  -11515000.414  44043743  -0.00114  -0.00129
  60     5.946  -11515120.005  45087609  -0.00288  -0.00135
  61     5.916  -11515321.061  44597465   0.00334  -0.00385
  62     6.066  -11515297.267  43444354  -0.00135   0.00044
  63     6.066  -11515296.512  43212571   0.00295   0.00024
  64     6.076  -11515160.795  43684233  -0.00427   0.00024
  65     5.946  -11515463.976  41978703   0.00351   0.00678
  66     6.036  -11515202.142  43819642  -0.00111  -0.00251
  67     5.906  -11514975.578  46853502  -0.00763  -0.01136
  68     5.916  -11515291.875  43059396  -0.00833   0.00253
  69     5.986  -11515246.708  43127201  -0.00565   0.00176
  70     5.956  -11515460.536  43740466   0.00481  -0.00004
  71     5.876  -11515229.681  44637513  -0.00126  -0.00485
  72     6.236  -11515085.418  42514048  -0.00174   0.00295
  73     6.016  -11515137.063  45161731  -0.00518  -0.00562
  74     6.236  -11515077.344  43318287  -0.00810   0.00185
  75     5.986  -11515373.804  42204123  -0.00240   0.00442
  76     5.946  -11515165.792  46985150   0.00640  -0.01152
  77     6.036  -11515194.794  43665296  -0.00398  -0.00013
  78     6.026  -11515192.660  44860257  -0.00038  -0.00096
  79     5.926  -11515280.872  43341979  -0.00585  -0.00034
  80     5.956  -11515360.948  43561948   0.00538   0.00005
  81     5.936  -11515043.278  47394908  -0.00357  -0.01104
  82     5.956  -11515161.432  43284540  -0.00580   0.00017
  83     5.966  -11515574.266  40925591  -0.00628   0.00686
  84     6.186  -11515212.765  42267358  -0.00620   0.00397
  85     5.916  -11515141.681  45145042  -0.00225  -0.00325
  86     5.956  -11515205.795  42169461  -0.00402   0.00532
  87     5.996  -11515006.436  46074031  -0.00279  -0.00738
  88     6.016  -11515238.944  42905442  -0.00198   0.00097
  89     5.826  -11515267.794  44017432   0.00094  -0.00054
  90     6.176  -11514987.096  46110966  -0.00118  -0.01072
  91     5.956  -11515383.378  42532125  -0.00402   0.00348
  92     6.116  -11515204.429  43468875  -0.00245  -0.00125
  93     5.856  -11515317.902  43348724   0.00441   0.00128
  94     5.986  -11515107.480  45525131   0.00349  -0.00512
  95     6.136  -11515409.369  41097213  -0.00811   0.01158
  96     6.066  -11515188.438  44146486   0.00312  -0.00148
  97     5.926  -11515444.423  41136804   0.00015   0.00780
  98     6.106  -11515254.528  40884846  -0.00371   0.01001
  99     6.156  -11515636.263  38898663  -0.00207   0.01583
 100     6.026  -11515236.913  42675638   0.00162   0.00254
 101     6.036  -11515199.061  43502491  -0.00547  -0.00092
 102     6.196  -11515211.622  42867828  -0.00061   0.00007
 103     6.036  -11515189.608  42766674  -0.00092   0.00055
 104     5.956  -11515333.293  43372419   0.00261   0.00204
 105     5.996  -11515249.107  43914113   0.00054  -0.00172
 106     6.066  -11515293.648  43805293  -0.00645  -0.00012
 107     6.036  -11515361.437  43495423   0.00733   0.00101
 108     6.086  -11515273.765  40798228  -0.00672   0.00956
 109     5.946  -11515247.525  42078791  -0.00003   0.00357
 110     6.056  -11515328.251  43676920   0.00175  -0.00191
 111     6.076  -11515245.049  44019551  -0.00073  -0.00437
 112     6.156  -11515077.467  43977090  -0.00659  -0.00117
 113     6.106  -11514938.952  45205193  -0.00126  -0.00789
 114     6.196  -11514904.980  45109925  -0.00440  -0.00399
 115     5.926  -11515040.868  45194049  -0.00189  -0.00406
 116     5.786  -11515128.251  45610240   0.00105  -0.00579
 117     5.876  -11515281.652  42652938  -0.01108   0.00467
 118     6.056  -11515131.230  43168180  -0.00231   0.00208
 119     6.146  -11515036.217  45006330  -0.00617  -0.00579
 120     6.096  -11515118.852  43721336  -0.00387  -0.00092
 121     6.076  -11515350.120  45518946   0.00720  -0.00665
 122     6.126  -11515200.619  44110266   0.00281  -0.00260
 123     5.956  -11515163.512  43952038   0.00676  -0.00079
 124     5.916  -11515404.888  43067869   0.00327   0.00068
 125     5.976  -11515277.869  43549906  -0.00191   0.00078
 126     5.966  -11515345.865  42946126  -0.00535   0.00370
 127     6.006  -11515345.805  41404623   0.00105   0.00894
